Complex ID,Charge,Shift,Dipole_point_q,q,Brutto,Charge_class,Geometry,Ligand,Smiles,1,2,3,4,5,6,7,9,11,13,14,21,23,37,40,41,42,43,46,Source_doi
20,0,-4041,695.8492842,-243,[PtI2(η2-CH2=CH2)(Me2phen)],neutral,sq-pl,hal-org,CC1=[N+]2C3=C4[N+]([Pt@OH1]25(I)([CH2][CH2]5)(I))=C(C=CC4=CC=C3C=C1)C,1551.48776,1551.42119,266.401541,215.2971853,219.2252684,218.6451992,161.0670034,154.6623432,131.104491,108.1301061,110.1493444,28.7471808,28.51838113,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
21,-2000,7090,0.00025442,944,[PtF6] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([F])([F])([F])[F],353.4143146,353.4142543,353.4141213,353.4141208,353.4141083,353.4140928,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
22,-2000,5856,110.9324823,886,[PtClF5] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([F])([F])([F])[Cl],565.8573963,354.324662,354.3246459,354.3246357,354.3246433,351.124513,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
23,-2000,5669,797.3248028,854,[PtBrF5] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([F])([F])([F])[Br],1099.03748,354.1284613,354.1284677,354.1284795,354.1284852,351.066779,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
24,-2000,4887,0.000159121,813,trans-[PtCl2F4] 2-,anion,oct,hal,[Pt@OH1]([Cl])([F])([F])([F])([F])[Cl],563.659447,563.659447,354.7726641,354.77266,354.7725464,354.7725445,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
25,-2000,4551,3.48E-05,751,trans-[PtBr2F4] 2-,anion,oct,hal,[Pt@OH1]([Br])([F])([F])([F])([F])[Br],1086.031219,1086.031217,354.4318954,354.4318951,354.4318852,354.4318844,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
26,-2000,4547,138.3439684,818,cis-[PtCl2F4] 2-,anion,oct,hal,[Pt@OH1]([Cl])([Cl])([F])([F])([F])[F],564.4867235,564.4867176,355.138012,355.1380043,351.3381712,351.3381306,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
27,-2000,4136,933.4378038,747,cis-[PtBr2F4] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([F])([F])([Br])[Br],1091.838535,1091.837692,354.6379204,354.6379106,350.6937728,350.6937257,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
28,-2000,3551,78.23061264,739,mer-[PtCl3F3] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([Cl])([Cl])([Cl])[F],562.9084328,562.3013145,562.3011353,355.4963457,355.4963459,351.2824377,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
29,-2000,3191,154.0980433,744,fac-[PtCl3F3] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([F])([Cl])([Cl])[Cl],564.0184255,564.0180678,564.0180219,351.5170093,351.516774,351.5167948,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
30,-2000,2907,549.1343081,634,mer-[PtBr3F3] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([Br])([Br])([Br])[F],1085.115358,1080.829455,1080.830988,354.677758,354.6777661,350.1489474,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
31,-2000,2534,9.76E-05,658,trans-[PtCl4F2] 2-,anion,oct,hal,[Pt@OH1]([F])([Cl])([Cl])([Cl])([Cl])[F],560.7704984,560.7704967,560.7704512,560.7704514,355.7925692,355.7925639,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
32,-2000,2487,962.5169532,632,fac-[PtBr3F3] 2-,anion,oct,hal,[Pt@OH1]([F])([F])([F])([Br])([Br])[Br],1086.679589,1086.67887,1086.679028,350.3969926,350.3970254,350.3969947,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
33,-2000,2171,101.3629248,662,cis-[PtCl4F2] 2-,anion,oct,hal,[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([F])[F],563.0644989,563.0644919,561.5307706,561.5301637,351.4569728,351.4569683,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
34,-2000,1157,6.09E-05,513,trans-[PtBr4F2] 2-,anion,oct,hal,[Pt@OH1]([F])([Br])([Br])([Br])([Br])[F],1075.523178,1075.523165,1075.522303,1075.522306,354.4742405,354.4742113,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
35,-2000,1142,659.6543214,513,cis-[PtBr4F2] 2-,anion,oct,hal,[Pt@OH1]([F])([Br])([Br])([Br])([F])[Br],1080.853818,1080.854107,1077.004163,1077.001552,349.9079199,349.9079149,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
36,-2000,1111,57.07163677,579,[PtCl5F]2-,anion,oct,hal,[Pt@OH1]([F])([Cl])([Cl])([Cl])([Cl])[Cl],562.5325253,560.4599024,560.4593583,560.4592453,560.4585782,351.4164024,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
37,-2000,0,0.001333351,496,[PtCl6] 2-,anion,oct,hal,[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([Cl])[Cl],559.7806737,559.7806414,559.7796998,559.779701,559.7716715,559.7716281,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
38,-2000,-286,687.873655,463,[PtCl5Br]2-,anion,oct,hal,[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([Cl])[Br],1089.911803,557.5561157,557.5560849,557.5560664,557.5560335,559.2874029,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
39,-2000,-311,387.3071615,391,[PtBr5F]2-,anion,oct,hal,[Pt@OH1]([Br])([F])([Br])([Br])([Br])[Br],1075.266232,1072.436131,1072.436035,1072.435024,1072.433444,349.4725002,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
40,-2000,-583,929.547763,426,cis-[PtCl4Br2] 2-,anion,oct,hal,[Pt@OH1]([Br])([Br])([Cl])([Cl])([Cl])[Cl],1089.091489,1089.091379,554.9493881,554.9493884,556.6307037,556.6306691,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
41,-2000,-585,0.000367865,428,trans-[PtCl4Br2] 2-,anion,oct,hal,[Pt@OH1]([Br])([Cl])([Cl])([Cl])([Cl])[Br],1081.150417,1081.149195,555.5477147,555.5477257,555.5477052,555.5477013,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
42,-2000,-854,1295.710963,401,[PtCl5I]2-,anion,oct,hal,[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([Cl])[I],1546.878328,556.620129,556.6201312,556.6201325,556.6201345,562.0699715,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
43,-2000,-892,1071.320988,388,fac-[PtCl3Br3] 2-,anion,oct,hal,[Pt@OH1]([Cl])([Cl])([Cl])([Br])([Br])[Br],1085.746964,1085.746952,1085.746849,553.7953685,553.7953474,553.7953444,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
44,-2000,-894,635.4777311,389,mer-[PtCl3Br3] 2-,anion,oct,hal,[Pt@OH1]([Cl])([Cl])([Br])([Br])([Br])[Cl],1088.65165,1079.429091,1079.429116,552.5616346,552.5618743,554.3393724,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
45,-2000,-1213,835.9622259,349,cis-[PtCl2Br4] 2-,anion,oct,hal,[Pt@OH1]([Br])([Br])([Br])([Br])([Cl])[Cl],1083.03868,1083.038647,1075.578969,1075.577199,551.3742738,551.3742754,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
46,-2000,-1216,3.05E-05,350,trans-[PtCl2Br4] 2-,anion,oct,hal,[Pt@OH1]([Cl])([Br])([Br])([Br])([Br])[Cl],1078.260066,1078.25988,1078.259513,1078.259326,549.8495798,549.849577,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
47,-2000,-1547,556.5975826,309,[PtClBr5] 2-,anion,oct,hal,[Pt@OH1]([Br])([Br])([Br])([Br])([Cl])[Br],1078.366266,1072.621154,1072.621639,1072.621307,1072.6214,548.8553353,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
48,-2000,-1806,1597.569464,297,cis-[PtCl4I2] 2-,anion,oct,hal,[Pt@OH1]([Cl])([Cl])([Cl])([Cl])([I])[I],1541.356524,1541.164823,552.470036,552.470054,558.359504,558.3632181,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
49,-2000,-1884,0.003656878,304,trans-[PtCl4I2] 2-,anion,oct,hal,[Pt@OH1]([I])([Cl])([Cl])([Cl])([Cl])[I],1537.641235,1537.630333,553.1692569,553.1692587,553.1692563,553.1692582,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
50,-2000,-1891,1.77E-05,268,[PtBr6] 2-,anion,oct,hal,[Pt@OH1]([Br])([Br])([Br])([Br])([Br])[Br],1068.191708,1068.191687,1068.191674,1068.191661,1068.191648,1068.191621,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
51,-2000,-2545,507.3774985,200,[PtBr5I]2-,anion,oct,hal,[Pt@OH1]([Br])([Br])([Br])([Br])([Br])[I],1521.331187,1064.142169,1064.141915,1064.140901,1064.140647,1070.621887,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
52,-2000,-2849,1736.406153,186,fac-[PtCl3I3] 2-,anion,oct,hal,[Pt@OH1]([Cl])([Cl])([Cl])([I])([I])[I],1531.781288,1531.778989,1531.69259,553.7650256,553.7642824,553.7619046,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
53,-2000,-2849,1021.247898,193,mer-[PtCl3I3] 2-,anion,oct,hal,[Pt@OH1]([I])([Cl])([I])([Cl])([I])[Cl],1535.954184,1530.986817,1530.986427,548.0481752,548.0481808,554.6050714,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
54,-2000,-3132,0.000973199,129,trans-[PtBr4I2] 2-,anion,oct,hal,[Pt@OH1]([I])([Br])([Br])([Br])([Br])[I],1522.688555,1522.680736,1059.791266,1059.791081,1059.790037,1059.789852,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
55,-2000,-3252,672.7130215,131,cis-[PtBr4I2] 2-,anion,oct,hal,[Pt@OH1]([Br])([Br])([Br])([Br])([I])[I],1516.175899,1516.074424,1059.756042,1059.7533,1066.384107,1066.385973,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
56,-2000,-3898,447.1678645,60,mer-[PtBr3I3] 2-,anion,oct,hal,[Pt@OH1]([I])([Br])([I])([Br])([I])[Br],1510.724394,1517.324294,1517.296345,1055.063313,1055.062556,1061.770726,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
57,-2000,-3932,1289.214939,77,cis-[PtCl2I4] 2-,anion,oct,hal,[Pt@OH1]([I])([Cl])([Cl])([I])([I])[I],1523.050887,1522.954217,1520.608134,1520.582426,549.2619613,549.2630417,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
58,-2000,-3932,0.004805005,82,trans-[PtCl2I4] 2-,anion,oct,hal,[Pt@OH1]([Cl])([I])([I])([I])([I])[Cl],1525.117214,1525.072365,1524.844589,1524.842498,542.7843816,542.7843811,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
59,-2000,-4014,776.1266296,62,fac-[PtBr3I3] 2-,anion,oct,hal,[Pt@OH1]([Br])([Br])([Br])([I])([I])[I],1510.74539,1510.737598,1510.736017,1061.719959,1061.71961,1061.71953,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
60,-2000,-4603,5.05E-05,-12,trans-[PtBr2I4] 2-,anion,oct,hal,[Pt@OH1]([Br])([I])([I])([I])([I])[Br],1511.652122,1511.65127,1511.63498,1511.632448,1050.112608,1050.112559,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
61,-2000,-4719,598.3553339,-10,cis-[PtBr2I4] 2-,anion,oct,hal,[Pt@OH1]([I])([I])([Br])([Br])([I])[I],1505.166272,1505.138309,1511.707053,1511.672776,1056.734648,1056.734822,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
62,-2000,-5081,830.7317512,-38,[PtClI5] 2-,anion,oct,hal,[Pt@OH1]([I])([I])([I])([I])([I])[Cl],1511.300144,1511.501017,1511.501242,1511.498596,1511.498859,544.096222,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1002/ejic.201600573
