Rho at Nucleus;DelSqRho;V;G;K;L;Vnuc;Ven;Vrep;DelSqV;DelSqVen;DelSqVrep;DelSqG;DelSqK;ESP;ESP at Nucleus;ESPe;ESPe at Nucleus;ESPn;ESPn at Nucleus;q(A);L(A);K(A);|Mu_Intra(A)|;Shift;Brutto;Complex;Geometry;Charge_class;Ligand;Source_doi;Molecular dipole;Smiles
1858090.104;-10166400000000.0;-2542030000000.0;217372362.1;2541810000000.0;2541590000000.0;7800000039;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.34793e+32;4.63652e+18;-4.52294e+19;-610.5384902;-610.5384902;-649.275565;-649.275565;38.73707474;38.73707474;-0.008017872;-2.13e-05;24953.79317;0.206878467;-4667;[PtBrI3]2-;13;sq-pl;anion;hal;https://doi.org/10.1002/ejic.201600573;0.19;Br[Pt-2](I)(I)I
1858089.77;-10166400000000.0;-2542030000000.0;217371513.2;2541810000000.0;2541590000000.0;7800000042;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.34793e+32;4.63652e+18;-4.52294e+19;-610.5353042;-610.5353042;-652.2601797;-652.2601797;41.72487555;41.72487555;-0.098502549;-0.000111559;24953.81159;0.000507136;-5475;[PtI4]2-;14;sq-pl;anion;hal;https://doi.org/10.1002/ejic.201600573;0.000538;I[Pt-2](I)(I)I
1858103.288;-10166500000000.0;-2542050000000.0;217396755.7;2541830000000.0;2541610000000.0;7800000028;-1.44932e+16;1.44907e+16;4.05932e+19;4.34e+32;-4.34472e+32;4.63656e+18;-4.52297e+19;-610.2287393;-610.2287393;-637.6989842;-637.6989842;27.47024493;27.47024493;0.736499999;-0.000334517;24953.86364;0.340704054;-2169;[PtCl2(η2 -CH2=CH2)(Me2phen)];15;sq-pl;neutral;hal-org;https://doi.org/10.1002/ejic.201600573;2.55;CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Cl[Pt]Cl
1858103.216;-10166500000000.0;-2542050000000.0;217395763.8;2541830000000.0;2541610000000.0;7800000031;-1.44932e+16;1.44907e+16;4.05932e+19;4.34e+32;-4.34478e+32;4.63656e+18;-4.52297e+19;-610.2281898;-610.2281898;-641.3244551;-641.3244551;31.09626528;31.09626528;0.668324103;-0.000119614;24953.8741;0.371603432;-2456;[PtBrCl(η2 -CH2=CH2)(Me2phen)];16;sq-pl;neutral;hal-org;https://doi.org/10.1002/ejic.201600573;2.55;CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Cl[Pt]Br
1858103.196;-10166400000000.0;-2542050000000.0;217394944.9;2541830000000.0;2541610000000.0;7800000035;-1.44932e+16;1.44907e+16;4.05932e+19;4.34e+32;-4.3448400000000004e+32;4.63656e+18;-4.52297e+19;-610.2286472;-610.2286472;-644.9211055;-644.9211055;34.69245823;34.69245823;0.601718572;0.000109136;24953.88626;0.343943824;-2886;[PtBr2(η2 -CH2=CH2)(Me2phen)];17;sq-pl;neutral;hal-org;https://doi.org/10.1002/ejic.201600573;2.56;CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Br[Pt]Br
1858103.148;-10166400000000.0;-2542050000000.0;217395084.6;2541830000000.0;2541610000000.0;7800000034;-1.44932e+16;1.44907e+16;4.05932e+19;4.34e+32;-4.34486e+32;4.63656e+18;-4.52297e+19;-610.2286564;-610.2286564;-644.3288276;-644.3288276;34.10017123;34.10017123;0.564539303;0.000103704;24953.89728;0.51251672;-3087;[PtClI(η2 -CH2=CH2)(Me2phen)];18;sq-pl;neutral;hal-org;https://doi.org/10.1002/ejic.201600573;2.57;CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Cl[Pt]I
1858103.253;-10166500000000.0;-2542050000000.0;217394210.3;2541830000000.0;2541610000000.0;7800000038;-1.44932e+16;1.44907e+16;4.05932e+19;4.34e+32;-4.34493e+32;4.63656e+18;-4.52297e+19;-610.2287883;-610.2287883;-647.9186124;-647.9186124;37.68982405;37.68982405;0.500274425;0.00018505;24953.90931;0.420189871;-3426;[PtBrI(η2 -CH2=CH2)(Me2phen)];19;sq-pl;neutral;hal-org;https://doi.org/10.1002/ejic.201600573;2.57;CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Br[Pt]I
1858103.388;-10166500000000.0;-2542050000000.0;217393419.4;2541830000000.0;2541610000000.0;7800000041;-1.44932e+16;1.44907e+16;4.05932e+19;4.35e+32;-4.34501e+32;4.63656e+18;-4.52297e+19;-610.2290768;-610.2290768;-650.89236;-650.89236;40.66328321;40.66328321;0.402764452;-0.000269155;24953.93033;0.35401308;-4041;[PtI2(η2 -CH2=CH2)(Me2phen)];20;sq-pl;neutral;hal-org;https://doi.org/10.1002/ejic.201600573;2.58;CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.I[Pt]I
1858092.938;-10166400000000.0;-2542030000000.0;217407420.1;2541820000000.0;2541600000000.0;7800000015;-1.44931e+16;1.44906e+16;4.05929e+19;4.35e+32;-4.34794e+32;4.63653e+18;-4.52295e+19;-610.5032132;-610.5032132;-624.9631524;-624.9631524;14.45993915;14.45993915;1.895715492;3.03e-05;24953.33564;0.001162668;7090;[PtF6] 2-;21;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.00111;[Pt-2]([F])([F])([F])([F])([F])[F]
1858094.638;-10166400000000.0;-2542040000000.0;217406714.6;2541820000000.0;2541600000000.0;7800000016;-1.44931e+16;1.44906e+16;4.0593e+19;4.35e+32;-4.34794e+32;4.63653e+18;-4.52295e+19;-610.4887843;-610.4887843;-626.368883;-626.368883;15.88009867;15.88009867;1.763062129;-0.000355654;24953.36992;0.317532869;5856;[PtClF5] 2-;22;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.442;[Pt-2]([F])([F])([F])([F])([F])[Cl]
1858094.924;-10166400000000.0;-2542040000000.0;217405911.3;2541820000000.0;2541600000000.0;7800000020;-1.44931e+16;1.44906e+16;4.0593e+19;4.35e+32;-4.34792e+32;4.63653e+18;-4.52295e+19;-610.4834292;-610.4834292;-629.9613625;-629.9613625;19.47793326;19.47793326;1.705178684;-0.000298042;24953.38782;0.44425441;5669;[PtBrF5] 2-;23;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.702;[Pt-2]([F])([F])([F])([F])([F])[Br]
1858096.0;-10166400000000.0;-2542040000000.0;217405173.0;2541820000000.0;2541600000000.0;7800000017;-1.44931e+16;1.44906e+16;4.0593e+19;4.35e+32;-4.34794e+32;4.63654e+18;-4.52295e+19;-610.4775423;-610.4775423;-627.7431157;-627.7431157;17.26557333;17.26557333;1.624512287;-9.34e-05;24953.40499;0.002137114;4887;trans-[PtCl2F4] 2-;24;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.00217;[Pt-2]([Cl])([F])([F])([Cl])([F])[F]
1858096.627;-10166400000000.0;-2542040000000.0;217403105.2;2541820000000.0;2541600000000.0;7800000024;-1.44932e+16;1.44906e+16;4.0593e+19;4.35e+32;-4.34795e+32;4.63654e+18;-4.52296e+19;-610.4701264;-610.4701264;-634.8733471;-634.8733471;24.40322065;24.40322065;1.503442773;-0.000254329;24953.44367;0.003195514;4551;trans-[PtBr2F4] 2-;25;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.00323;[Pt-2]([Br])([F])([F])([Br])([F])[F]
1858096.035;-10166400000000.0;-2542040000000.0;217405863.7;2541820000000.0;2541600000000.0;7800000017;-1.44931e+16;1.44906e+16;4.0593e+19;4.35e+32;-4.34794e+32;4.63654e+18;-4.52295e+19;-610.4763977;-610.4763977;-627.770546;-627.770546;17.29414832;17.29414832;1.62406688;-1.75e-06;24953.40535;0.453110386;4547;cis-[PtCl2F4] 2-;26;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.554;[Pt-2]([Cl])([Cl])([F])([F])([F])[F]
1858096.453;-10166400000000.0;-2542040000000.0;217404186.9;2541820000000.0;2541600000000.0;7800000025;-1.44932e+16;1.44906e+16;4.0593e+19;4.35e+32;-4.3479100000000004e+32;4.63654e+18;-4.52296e+19;-610.4677503;-610.4677503;-634.966714;-634.966714;24.49896372;24.49896372;1.500166469;-0.000359142;24953.44109;0.640827374;4136;cis-[PtBr2F4] 2-;27;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.838;[Pt-2]([F])([F])([F])([F])([Br])[Br]
1858097.089;-10166400000000.0;-2542040000000.0;217404234.8;2541820000000.0;2541600000000.0;7800000019;-1.44932e+16;1.44906e+16;4.0593e+19;4.35e+32;-4.34794e+32;4.63654e+18;-4.52296e+19;-610.4667914;-610.4667914;-629.1392871;-629.1392871;18.67249578;18.67249578;1.479871528;-0.000159353;24953.4409;0.321082754;3551;mer-[PtCl3F3] 2-;28;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.347;[Pt-2]([Cl])([F])([F])([Cl])([Cl])[F]
1858097.164;-10166400000000.0;-2542040000000.0;217404918.7;2541820000000.0;2541600000000.0;7800000019;-1.44932e+16;1.44906e+16;4.0593e+19;4.35e+32;-4.34793e+32;4.63654e+18;-4.52296e+19;-610.4658402;-610.4658402;-629.1701105;-629.1701105;18.70427032;18.70427032;1.478857197;8.47e-05;24953.44297;0.553105757;3191;fac-[PtCl3F3] 2-;29;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.597;[Pt-2]([F])([F])([F])([Cl])([Cl])[Cl]
