Rho at Nucleus,DelSqRho,V,G,L,Vnuc,Ven,Vrep,DelSqVen,DelSqVrep,DelSqK,ESP,ESPe,q(A),L(A),K(A),|Mu_Intra(A)|,Brutto,Complex,Geometry,Charge_class,Ligand,Molecular dipole,Shift,Smiles,Source_doi
1858103.288,-10166500000000.00,-2542050000000.00,217396755.70,2541610000000.00,7800000028.00,-14493200000000000.00,14490700000000000.00,434000000000000000000000000000000.00,-434472000000000000000000000000000.00,-45229700000000000000.00,-610.2287393,-637.6989842,0.736499999,-0.000334517,24953.86364,0.340704054,[PtCl2(η2 -CH2=CH2)(Me2phen)],18,sq-pl,neutral,hal-org,2.55,-2169,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Cl[Pt]Cl,https://doi.org/10.1002/ejic.201600573
1858103.216,-10166500000000.00,-2542050000000.00,217395763.80,2541610000000.00,7800000031.00,-14493200000000000.00,14490700000000000.00,434000000000000000000000000000000.00,-434478000000000000000000000000000.00,-45229700000000000000.00,-610.2281898,-641.3244551,0.668324103,-0.000119614,24953.8741,0.371603432,[PtBrCl(η2 -CH2=CH2)(Me2phen)],19,sq-pl,neutral,hal-org,2.55,-2456,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Cl[Pt]Br,https://doi.org/10.1002/ejic.201600573
1858103.196,-10166400000000.00,-2542050000000.00,217394944.90,2541610000000.00,7800000035.00,-14493200000000000.00,14490700000000000.00,434000000000000000000000000000000.00,-434484000000000000000000000000000.00,-45229700000000000000.00,-610.2286472,-644.9211055,0.601718572,0.000109136,24953.88626,0.343943824,[PtBr2(η2 -CH2=CH2)(Me2phen)],20,sq-pl,neutral,hal-org,2.56,-2886,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Br[Pt]Br,https://doi.org/10.1002/ejic.201600573
1858103.148,-10166400000000.00,-2542050000000.00,217395084.60,2541610000000.00,7800000034.00,-14493200000000000.00,14490700000000000.00,434000000000000000000000000000000.00,-434486000000000000000000000000000.00,-45229700000000000000.00,-610.2286564,-644.3288276,0.564539303,0.000103704,24953.89728,0.51251672,[PtClI(η2 -CH2=CH2)(Me2phen)],21,sq-pl,neutral,hal-org,2.57,-3087,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Cl[Pt]I,https://doi.org/10.1002/ejic.201600573
1858103.253,-10166500000000.00,-2542050000000.00,217394210.30,2541610000000.00,7800000038.00,-14493200000000000.00,14490700000000000.00,434000000000000000000000000000000.00,-434493000000000000000000000000000.00,-45229700000000000000.00,-610.2287883,-647.9186124,0.500274425,0.00018505,24953.90931,0.420189871,[PtBrI(η2 -CH2=CH2)(Me2phen)],22,sq-pl,neutral,hal-org,2.57,-3426,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Br[Pt]I,https://doi.org/10.1002/ejic.201600573
1858103.388,-10166500000000.00,-2542050000000.00,217393419.40,2541610000000.00,7800000041.00,-14493200000000000.00,14490700000000000.00,435000000000000000000000000000000.00,-434501000000000000000000000000000.00,-45229700000000000000.00,-610.2290768,-650.89236,0.402764452,-0.000269155,24953.93033,0.35401308,[PtI2(η2 -CH2=CH2)(Me2phen)],23,sq-pl,neutral,hal-org,2.58,-4041,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.I[Pt]I,https://doi.org/10.1002/ejic.201600573
1858092.938,-10166400000000.00,-2542030000000.00,217407420.10,2541600000000.00,7800000015.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434794000000000000000000000000000.00,-45229500000000000000.00,-610.5032132,-624.9631524,1.895715492,3.03E-05,24953.33564,0.001162668,[PtF6] 2-,24,oct,anion,hal,0.00111,7090,[Pt-2]([F])([F])([F])([F])([F])[F],https://doi.org/10.1002/ejic.201600573
1858094.638,-10166400000000.00,-2542040000000.00,217406714.60,2541600000000.00,7800000016.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434794000000000000000000000000000.00,-45229500000000000000.00,-610.4887843,-626.368883,1.763062129,-0.000355654,24953.36992,0.317532869,[PtClF5] 2-,25,oct,anion,hal,0.442,5856,[Pt-2]([F])([F])([F])([F])([F])[Cl],https://doi.org/10.1002/ejic.201600573
1858094.924,-10166400000000.00,-2542040000000.00,217405911.30,2541600000000.00,7800000020.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434792000000000000000000000000000.00,-45229500000000000000.00,-610.4834292,-629.9613625,1.705178684,-0.000298042,24953.38782,0.44425441,[PtBrF5] 2-,26,oct,anion,hal,0.702,5669,[Pt-2]([F])([F])([F])([F])([F])[Br],https://doi.org/10.1002/ejic.201600573
1858096,-10166400000000.00,-2542040000000.00,217405173.00,2541600000000.00,7800000017.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434794000000000000000000000000000.00,-45229500000000000000.00,-610.4775423,-627.7431157,1.624512287,-9.34E-05,24953.40499,0.002137114,trans-[PtCl2F4] 2-,27,oct,anion,hal,0.00217,4887,[Pt-2]([Cl])([F])([F])([Cl])([F])[F],https://doi.org/10.1002/ejic.201600573
1858096.627,-10166400000000.00,-2542040000000.00,217403105.20,2541600000000.00,7800000024.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.4701264,-634.8733471,1.503442773,-0.000254329,24953.44367,0.003195514,trans-[PtBr2F4] 2-,28,oct,anion,hal,0.00323,4551,[Pt-2]([Br])([F])([F])([Br])([F])[F],https://doi.org/10.1002/ejic.201600573
1858096.035,-10166400000000.00,-2542040000000.00,217405863.70,2541600000000.00,7800000017.00,-14493100000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434794000000000000000000000000000.00,-45229500000000000000.00,-610.4763977,-627.770546,1.62406688,-1.75E-06,24953.40535,0.453110386,cis-[PtCl2F4] 2-,29,oct,anion,hal,0.554,4547,[Pt-2]([Cl])([Cl])([F])([F])([F])[F],https://doi.org/10.1002/ejic.201600573
1858096.453,-10166400000000.00,-2542040000000.00,217404186.90,2541600000000.00,7800000025.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434791000000000000000000000000000.00,-45229600000000000000.00,-610.4677503,-634.966714,1.500166469,-0.000359142,24953.44109,0.640827374,cis-[PtBr2F4] 2-,30,oct,anion,hal,0.838,4136,[Pt-2]([F])([F])([F])([F])([Br])[Br],https://doi.org/10.1002/ejic.201600573
1858097.089,-10166400000000.00,-2542040000000.00,217404234.80,2541600000000.00,7800000019.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434794000000000000000000000000000.00,-45229600000000000000.00,-610.4667914,-629.1392871,1.479871528,-0.000159353,24953.4409,0.321082754,mer-[PtCl3F3] 2-,31,oct,anion,hal,0.347,3551,[Pt-2]([Cl])([F])([F])([Cl])([Cl])[F],https://doi.org/10.1002/ejic.201600573
1858097.164,-10166400000000.00,-2542040000000.00,217404918.70,2541600000000.00,7800000019.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434793000000000000000000000000000.00,-45229600000000000000.00,-610.4658402,-629.1701105,1.478857197,8.47E-05,24953.44297,0.553105757,fac-[PtCl3F3] 2-,32,oct,anion,hal,0.597,3191,[Pt-2]([F])([F])([F])([Cl])([Cl])[Cl],https://doi.org/10.1002/ejic.201600573
1858097.658,-10166400000000.00,-2542040000000.00,217401279.30,2541600000000.00,7800000029.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434793000000000000000000000000000.00,-45229600000000000000.00,-610.4573808,-639.8643393,1.290199622,0.000143839,24953.49612,0.45877769,mer-[PtBr3F3] 2-,33,oct,anion,hal,0.503,2907,[Pt-2]([Br])([F])([F])([Br])([Br])[F],https://doi.org/10.1002/ejic.201600573
1858097.845,-10166400000000.00,-2542040000000.00,217402574.80,2541600000000.00,7800000020.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.4583801,-630.5009441,1.332547082,0.000110715,24953.47567,0.001659948,trans-[PtCl4F2] 2-,34,oct,anion,hal,0.00162,2534,[Pt-2]([F])([Cl])([Cl])([F])([Cl])[Cl],https://doi.org/10.1002/ejic.201600573
1858097.558,-10166400000000.00,-2542040000000.00,217402334.80,2541600000000.00,7800000030.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434790000000000000000000000000000.00,-45229600000000000000.00,-610.4554376,-639.9723239,1.284572456,8.98E-05,24953.49679,0.794003143,fac-[PtBr3F3] 2-,35,oct,anion,hal,0.87,2487,[Pt-2]([F])([F])([F])([Br])([Br])[Br],https://doi.org/10.1002/ejic.201600573
1858097.936,-10166400000000.00,-2542040000000.00,217403219.80,2541600000000.00,7800000020.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434794000000000000000000000000000.00,-45229600000000000000.00,-610.4576007,-630.5329915,1.330568478,0.000293334,24953.47853,0.452343108,cis-[PtCl4F2] 2-,36,oct,anion,hal,0.434,2171,[Pt-2]([Cl])([Cl])([Cl])([Cl])([F])[F],https://doi.org/10.1002/ejic.201600573
1858098.378,-10166400000000.00,-2542040000000.00,217398388.40,2541610000000.00,7800000034.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.4488707,-644.7376809,1.074831733,-9.76E-06,24953.54716,0.002188923,trans-[PtBr4F2] 2-,37,oct,anion,hal,0.00217,1157,[Pt-2]([F])([Br])([Br])([F])([Br])[Br],https://doi.org/10.1002/ejic.201600573
1858098.323,-10166400000000.00,-2542040000000.00,217399376.30,2541610000000.00,7800000034.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434792000000000000000000000000000.00,-45229600000000000000.00,-610.4473313,-644.8551939,1.066663995,-0.000245653,24953.55041,0.653880295,cis-[PtBr4F2] 2-,38,oct,anion,hal,0.608,1142,[Pt-2]([F])([Br])([Br])([Br])([Br])[F],https://doi.org/10.1002/ejic.201600573
1858098.437,-10166400000000.00,-2542040000000.00,217401499.20,2541610000000.00,7800000021.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.4503873,-631.8880889,1.17842527,-0.000214596,24953.5131,0.32118762,[PtCl5F]2-,39,oct,anion,hal,0.275,1111,[Pt-2]([F])([Cl])([Cl])([Cl])([Cl])[Cl],https://doi.org/10.1002/ejic.201600573
1858098.706,-10166400000000.00,-2542040000000.00,217399777.60,2541610000000.00,7800000023.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.4440462,-633.2353811,1.023608485,-0.000365173,24953.54663,0.002388935,[PtCl6] 2-,40,oct,anion,hal,0.00236,0,[Pt-2]([Cl])([Cl])([Cl])([Cl])([Cl])[Cl],https://doi.org/10.1002/ejic.201600573
1858098.727,-10166400000000.00,-2542040000000.00,217398777.30,2541610000000.00,7800000026.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.4421392,-636.7919402,0.958363484,0.000386478,24953.56468,0.135690195,[PtCl5Br]2-,41,oct,anion,hal,0.179,-286,[Pt-2]([Cl])([Cl])([Cl])([Cl])([Cl])[Br],https://doi.org/10.1002/ejic.201600573
1858098.666,-10166400000000.00,-2542040000000.00,217396463.70,2541610000000.00,7800000039.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434793000000000000000000000000000.00,-45229600000000000000.00,-610.440682,-649.7119451,0.845112385,-0.000243555,24953.60026,0.465493979,[PtBr5F]2-,42,oct,anion,hal,0.371,-311,[Pt-2]([Br])([F])([Br])([Br])([Br])[Br],https://doi.org/10.1002/ejic.201600573
1858098.718,-10166400000000.00,-2542040000000.00,217397763.70,2541610000000.00,7800000030.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434794000000000000000000000000000.00,-45229600000000000000.00,-610.4403966,-640.350774,0.890592614,-0.000409044,24953.58169,0.191738688,cis-[PtCl4Br2] 2-,43,oct,anion,hal,0.24,-583,[Pt-2]([Br])([Br])([Cl])([Cl])([Cl])[Cl],https://doi.org/10.1002/ejic.201600573
1858098.783,-10166400000000.00,-2542040000000.00,217397729.00,2541610000000.00,7800000030.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434795000000000000000000000000000.00,-45229600000000000000.00,-610.4405225,-640.3263201,0.891781191,-0.000366487,24953.58194,0.001159283,trans-[PtCl4Br2] 2-,44,oct,anion,hal,0.00112,-585,[Pt-2]([Br])([Cl])([Cl])([Br])([Cl])[Cl],https://doi.org/10.1002/ejic.201600573
1858098.653,-10166400000000.00,-2542040000000.00,217397734.30,2541610000000.00,7800000029.00,-14493200000000000.00,14490600000000000.00,435000000000000000000000000000000.00,-434794000000000000000000000000000.00,-45229600000000000000.00,-610.4407303,-639.7271337,0.866235885,-9.49E-05,24953.59148,0.332167452,[PtCl5I]2-,45,oct,anion,hal,0.296,-854,[Pt-2]([Cl])([Cl])([Cl])([Cl])([Cl])[I],https://doi.org/10.1002/ejic.201600573
