Rho at Nucleus,DelSqRho,V,G,K,L,Vnuc,Ven,Vrep,DelSqV,DelSqVen,DelSqVrep,DelSqG,DelSqK,ESP,ESP at Nucleus,ESPe,ESPe at Nucleus,ESPn,ESPn at Nucleus,q(A),L(A),K(A),K_Scaled(A),|Mu_Intra(A)|,Shift,Brutto,Complex,Geometry,Charge_class,Ligand,Source_doi,Molecular dipole,Smiles
1858090.273,-1.01664E+13,-2.54203E+12,217373312.9,2.54181E+12,2.54159E+12,7800000035,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34789E+32,4.63652E+18,-4.52294E+19,-610.541577,-610.541577,-645.6716239,-645.6716239,35.13004694,35.13004693,0.057557235,-8.22E-05,24953.782,-24953.782,0.347831785,-4213,[PtClI3]2- ,15,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,4.41E-01,Cl[Pt-2](I)(I)I
1858090.104,-1.01664E+13,-2.54203E+12,217372362.1,2.54181E+12,2.54159E+12,7800000039,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34793E+32,4.63652E+18,-4.52294E+19,-610.5384902,-610.5384902,-649.275565,-649.275565,38.73707474,38.73707474,-0.008017872,-2.13E-05,24953.79317,-24953.79317,0.206878467,-4667,[PtBrI3]2- ,16,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,1.90E-01,Br[Pt-2](I)(I)I
1858089.77,-1.01664E+13,-2.54203E+12,217371513.2,2.54181E+12,2.54159E+12,7800000042,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34793E+32,4.63652E+18,-4.52294E+19,-610.5353042,-610.5353042,-652.2601797,-652.2601797,41.72487555,41.72487555,-0.098502549,-0.000111559,24953.81159,-24953.81159,0.000507136,-5475,[PtI4]2- ,17,sq-pl,anion,hal,https://doi.org/10.1002/ejic.201600573,5.38E-04,I[Pt-2](I)(I)I
1858103.288,-1.01665E+13,-2.54205E+12,217396755.7,2.54183E+12,2.54161E+12,7800000028,-1.44932E+16,1.44907E+16,4.05932E+19,4.34E+32,-4.34472E+32,4.63656E+18,-4.52297E+19,-610.2287393,-610.2287393,-637.6989842,-637.6989842,27.47024493,27.47024493,0.736499999,-0.000334517,24953.86364,-24953.86364,0.340704054,-2169,[PtCl2(η2 -CH2=CH2)(Me2phen)],18,sq-pl,neutral,hal-org,https://doi.org/10.1002/ejic.201600573,2.55E+00,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Cl[Pt]Cl
1858103.216,-1.01665E+13,-2.54205E+12,217395763.8,2.54183E+12,2.54161E+12,7800000031,-1.44932E+16,1.44907E+16,4.05932E+19,4.34E+32,-4.34478E+32,4.63656E+18,-4.52297E+19,-610.2281898,-610.2281898,-641.3244551,-641.3244551,31.09626528,31.09626528,0.668324103,-0.000119614,24953.8741,-24953.8741,0.371603432,-2456,[PtBrCl(η2 -CH2=CH2)(Me2phen)],19,sq-pl,neutral,hal-org,https://doi.org/10.1002/ejic.201600573,2.55E+00,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Cl[Pt]Br
1858103.196,-1.01664E+13,-2.54205E+12,217394944.9,2.54183E+12,2.54161E+12,7800000035,-1.44932E+16,1.44907E+16,4.05932E+19,4.34E+32,-4.34484E+32,4.63656E+18,-4.52297E+19,-610.2286472,-610.2286472,-644.9211055,-644.9211055,34.69245823,34.69245823,0.601718572,0.000109136,24953.88626,-24953.88626,0.343943824,-2886,[PtBr2(η2 -CH2=CH2)(Me2phen)],20,sq-pl,neutral,hal-org,https://doi.org/10.1002/ejic.201600573,2.56E+00,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Br[Pt]Br
1858103.148,-1.01664E+13,-2.54205E+12,217395084.6,2.54183E+12,2.54161E+12,7800000034,-1.44932E+16,1.44907E+16,4.05932E+19,4.34E+32,-4.34486E+32,4.63656E+18,-4.52297E+19,-610.2286564,-610.2286564,-644.3288276,-644.3288276,34.10017123,34.10017123,0.564539303,0.000103704,24953.89728,-24953.89728,0.51251672,-3087,[PtClI(η2 -CH2=CH2)(Me2phen)],21,sq-pl,neutral,hal-org,https://doi.org/10.1002/ejic.201600573,2.57E+00,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Cl[Pt]I
1858103.253,-1.01665E+13,-2.54205E+12,217394210.3,2.54183E+12,2.54161E+12,7800000038,-1.44932E+16,1.44907E+16,4.05932E+19,4.34E+32,-4.34493E+32,4.63656E+18,-4.52297E+19,-610.2287883,-610.2287883,-647.9186124,-647.9186124,37.68982405,37.68982405,0.500274425,0.00018505,24953.90931,-24953.90931,0.420189871,-3426,[PtBrI(η2 -CH2=CH2)(Me2phen)],22,sq-pl,neutral,hal-org,https://doi.org/10.1002/ejic.201600573,2.57E+00,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Br[Pt]I
1858103.388,-1.01665E+13,-2.54205E+12,217393419.4,2.54183E+12,2.54161E+12,7800000041,-1.44932E+16,1.44907E+16,4.05932E+19,4.35E+32,-4.34501E+32,4.63656E+18,-4.52297E+19,-610.2290768,-610.2290768,-650.89236,-650.89236,40.66328321,40.66328321,0.402764452,-0.000269155,24953.93033,-24953.93033,0.35401308,-4041,[PtI2(η2 -CH2=CH2)(Me2phen)],23,sq-pl,neutral,hal-org,https://doi.org/10.1002/ejic.201600573,2.58E+00,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.I[Pt]I
1858092.938,-1.01664E+13,-2.54203E+12,217407420.1,2.54182E+12,2.5416E+12,7800000015,-1.44931E+16,1.44906E+16,4.05929E+19,4.35E+32,-4.34794E+32,4.63653E+18,-4.52295E+19,-610.5032132,-610.5032132,-624.9631524,-624.9631524,14.45993915,14.45993915,1.895715492,3.03E-05,24953.33564,-24953.33564,0.001162668,7090,[PtF6] 2-,24,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,1.11E-03,[Pt-2]([F])([F])([F])([F])([F])[F]
