Complex,Source_doi,Charge,Shift,Dipole,q,Brutto,Charge_class,Geometry,Ligand,Smiles,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
19,https://doi.org/10.1002/ejic.201600573,0,-2456,621.8,-54,[PtBrCl(η2 -CH2=CH2)(Me2phen)],neutral,sq-pl,hal-org,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Cl[Pt]Br,1107.211131,566.9791423,238.2040192,238.1806197,223.4891797,223.488726,150.4498508,150.4456982,145.3352179,145.3215036,140.2629511,140.2476695,104.4681544,104.4655454,103.0004058,102.994305,92.69640281,92.6928145,84.91897802,84.91831647,28.73594976,28.73580915,28.8521608,28.85203578,24.83143026,24.82924525,25.34189772,25.33851674,17.6466408,17.64518147,14.54129948,14.54049766,12.72963257,12.72923677,11.9763231,11.97620187,0,0,0,0,0,0,0,0,0,0
20,https://doi.org/10.1002/ejic.201600573,0,-2886,537.5,-99,[PtBr2(η2 -CH2=CH2)(Me2phen)],neutral,sq-pl,hal-org,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Br[Pt]Br,1094.842159,1094.762334,262.6634206,216.9162182,220.317793,220.0231416,159.3883159,155.1715108,153.8428037,146.5513812,132.3161374,125.6285334,107.5072215,109.3466591,101.8847511,96.56021689,96.78671732,88.98126338,85.73760047,84.26277348,28.86200181,28.86199874,28.63995149,28.63466668,27.30832248,27.26509784,22.37904031,22.28286827,18.89690842,16.21526421,15.37389526,13.7095253,13.16139286,12.31172102,12.12769782,11.85496764,0,0,0,0,0,0,0,0,0,0
21,https://doi.org/10.1002/ejic.201600573,0,-3087,673.6,-127,[PtClI(η2 -CH2=CH2)(Me2phen)],neutral,sq-pl,hal-org,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Cl[Pt]I,1565.549228,570.0315021,237.8796671,237.8314434,223.2496801,223.2478085,150.2854331,150.276015,145.1391106,145.108629,139.9469408,139.9122947,104.3699404,104.3635901,102.8804812,102.8659512,92.60108862,92.5922927,84.8417534,84.84008818,28.64201942,28.64138915,28.83561204,28.83502415,26.60141805,26.58720038,23.51779854,23.49290475,17.67679086,17.6751779,14.5274064,14.52548787,12.71839953,12.71740582,11.96717713,11.96686938,0,0,0,0,0,0,0,0,0,0
22,https://doi.org/10.1002/ejic.201600573,0,-3426,544.1,-170,[PtBrI(η2 -CH2=CH2)(Me2phen)],neutral,sq-pl,hal-org,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.Br[Pt]I,1552.911409,1093.962163,264.8585489,215.9254687,219.7090542,219.2948716,160.3861457,155.8531855,154.3474262,146.6315112,131.5794936,124.5694155,107.8895316,109.8270734,101.8928076,96.91572771,96.46407854,88.84792316,85.91478012,84.34276385,28.71272416,28.46786027,28.90046574,28.70043658,26.83711591,27.78823967,22.41160295,21.80114036,18.94547957,16.11153577,15.43174289,13.66297681,13.20137366,12.297818,12.15312527,11.86235373,0,0,0,0,0,0,0,0,0,0
23,https://doi.org/10.1002/ejic.201600573,0,-4041,516.1,-243,[PtI2(η2-CH2=CH2)(Me2phen)],neutral,sq-pl,hal-org,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1.C=C.I[Pt]I,1551.48776,1551.42119,266.401541,215.2971853,219.2252684,218.6451992,161.0670034,156.2848197,154.6623432,146.6677013,131.104491,123.9237606,108.1301061,110.1493444,101.8844111,97.14733519,96.24961544,88.75053237,86.02057184,84.38460111,28.7471808,28.74288753,28.51838113,28.51539958,27.39741929,27.21505013,21.97456807,21.96246486,18.96755529,16.04281196,15.47069887,13.6323628,13.22729923,12.28730945,12.16850629,11.86578913,0,0,0,0,0,0,0,0,0,0
24,https://doi.org/10.1002/ejic.201600573,-2000,7090,873,944,[PtF6] 2-,anion,oct,hal,[Pt-2]([F])([F])([F])([F])([F])[F],353.4143146,353.4142543,353.4141213,353.4141208,353.4141083,353.4140928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,https://doi.org/10.1002/ejic.201600573,-2000,5856,1270.6,886,[PtClF5] 2-,anion,oct,hal,[Pt-2]([F])([F])([F])([F])([F])[Cl],565.8573963,354.324662,354.3246459,354.3246357,354.3246433,351.124513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,https://doi.org/10.1002/ejic.201600573,-2000,5669,1462.6,854,[PtBrF5] 2-,anion,oct,hal,[Pt-2]([F])([F])([F])([F])([F])[Br],1099.03748,354.1284613,354.1284677,354.1284795,354.1284852,351.066779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,https://doi.org/10.1002/ejic.201600573,-2000,4887,940.3,813,trans-[PtCl2F4] 2-,anion,oct,hal,[Pt-2]([Cl])([F])([F])([Cl])([F])[F],563.659447,563.659447,354.7726641,354.77266,354.7725464,354.7725445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,https://doi.org/10.1002/ejic.201600573,-2000,4551,969.5,751,trans-[PtBr2F4] 2-,anion,oct,hal,[Pt-2]([Br])([F])([F])([Br])([F])[F],1086.031219,1086.031217,354.4318954,354.4318951,354.4318852,354.4318844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,https://doi.org/10.1002/ejic.201600573,-2000,4547,1102.6,818,cis-[PtCl2F4] 2-,anion,oct,hal,[Pt-2]([Cl])([Cl])([F])([F])([F])[F],564.4867235,564.4867176,355.138012,355.1380043,351.3381712,351.3381306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
